trans_id,lang,translation
"Nikkilä - Etelä-Paippinen - Järvenpään asema",fi,"Nikkilä - Etelä-Paippinen - Järvenpään asema"
"Kampintori",fi,"Kampintori"
"Hyttimestari",sv,"Hyttmästaren"
"Testipysäkintie 2",fi,"Testipysäkintie 2"
"Kallioruohontie",fi,"Kallioruohontie"
"Tervakkotie",fi,"Tervakkotie"
"Lokkisaarentie 1",sv,"Trutholmsvägen 1"
"Maunulan ala-aste",fi,"Maunulan ala-aste"
"Hakaniemi-Malmink",sv,"Hagnäs- Malmgård"
"Luoma-Masala-Jorvaksentie-Hirsala",fi,"Luoma-Masala-Jorvaksentie-Hirsala"
"Veikkola-Lapinkylä-Kauhala",fi,"Veikkola-Lapinkylä-Kauhala"
"Herttoniemi(M), tulo",fi,"Herttoniemi(M), tulo"
"Koivupää / Tapola",fi,"Koivupää / Tapola"
"Mäntytie",sv,"Tallvägen"
"Sompiontie",sv,"Sompiovägen"
"Paratiisikuja",sv,"Paratiisikuja"
"Mannerheimintie 116",fi,"Mannerheimintie 116"
"Suonotkonkuja",fi,"Suonotkonkuja"
"Ilkantie 4",fi,"Ilkantie 4"
"Hakaniemi - Kalasatama - Hakaniemi",fi,"Hakaniemi - Kalasatama - Hakaniemi"
"Tehtaanpuisto",fi,"Tehtaanpuisto"
"Kumpulan s-puutarha",fi,"Kumpulan s-puutarha"
"Silatie",fi,"Silatie"
"Olympiaterm.-Kauppat",sv,"Olympiaterm.-Salutor"
"Kirjokalliontie",sv,"Vackerbergsvägen"
"Siuntiontien risteys",sv,"Sjundeåvägen korsn."
"Yliskyläntie 2",fi,"Yliskyläntie 2"
"Mestarinkatu",sv,"Mastargatan"
"Espoon keskus-Mikkelä-Kauklahti",fi,"Espoon keskus-Mikkelä-Kauklahti"
"Teirintie",fi,"Teirintie"
"Kuninkaanmäki",sv,"Kungsbacka"
"Marjaniementie",sv,"Maruddsvägen"
"Länsi-Pasila - Töölön halli",fi,"Länsi-Pasila - Töölön halli"
"Eira - Töölö - Sörnäinen (M) - Käpylä",fi,"Eira - Töölö - Sörnäinen (M) - Käpylä"
"Soukka - Kivenlahti - Latokaski - Espoon keskus - Jorvi",fi,"Soukka - Kivenlahti - Latokaski - Espoon keskus - Jorvi"
"Annankatu",sv,"Annegatan"
"Perämiehenkatu 5",sv,"Styrmansgatan 5"
"Koukkuveräjä",fi,"Koukkuveräjä"
"Mansikkatie",fi,"Mansikkatie"
"Artur Lindholmin tie",sv,"Artur Lindholms väg"
"Harjulankatu",fi,"Harjulankatu"
"Ruukinranta",fi,"Ruukinranta"
"Hämäläisenmutka",fi,"Hämäläisenmutka"
"Viikin kirkko",sv,"Vik kyrka"
"Vuosaari(M) - Leikosaarentie - Uutela",sv,"Nordsjö(M) - Lekholmsvägen - Nybondas"
"Kaislaranta",sv,"Sävstranden"
"Matinkylä-Järvenperä",fi,"Matinkylä-Järvenperä"
"Teinikuja 4",sv,"Djäknestigen 4"
"Matinkylä (M)-Nöykkiö-Tillinmäki",fi,"Matinkylä (M)-Nöykkiö-Tillinmäki"
"Kuusikoti",fi,"Kuusikoti"
"Urheilupuistontie",sv,"Idrottsparksvägen"
"Kissankellontie 2-4",sv,"Blåklocksvägen 2-4"
"Keravan t-Kilpilahti",fi,"Keravan t-Kilpilahti"
"Energia-aukio",fi,"Energia-aukio"
"Ketokiventie 1",fi,"Ketokiventie 1"
"Alokastie",sv,"Rekrytvägen"
"Kaurakaski",sv,"Havresveden"
"Pellonkulma",sv,"Pellonkulma"
"Lentäjäntie",fi,"Lentäjäntie"
"Lähderannantie",sv,"Källstrandsvägen"
"Söderkulla-Kalkkiran",sv,"Söderkulla-Kalkstran"
"Kamppi, lait. 52",sv,"Kampen, pf. 52"
"Ohdaketie",sv,"Ohdaketie"
"Siltasaarenkatu 11",fi,"Siltasaarenkatu 11"
"Kivikonkaari 39",fi,"Kivikonkaari 39"
"Hietakummuntie 1",sv,"Sandkullavägen 1"
