stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,vehicle_type
2715249,E7176,"Kylvömaa","Suopurontie",60.284710,24.745120,02,http://aikataulut.hsl.fi/pysakit/fi/2715249.html,0, ,0,,3
2715250,E7177,"Kylvötie","Suopurontie",60.285490,24.742040,02,http://aikataulut.hsl.fi/pysakit/fi/2715250.html,0, ,0,,3
2715251,E7178,"Kylvötie","Suopurontie",60.285820,24.741130,02,http://aikataulut.hsl.fi/pysakit/fi/2715251.html,0, ,0,,3
2715289,E7180,"Juvanmalmintie","Juvanmalmintie",60.285586,24.763178,02,http://aikataulut.hsl.fi/pysakit/fi/2715289.html,0, ,0,,3
2715293,E7181,"Nikunmäentie","Juvankartanontie",60.267020,24.747610,02,http://aikataulut.hsl.fi/pysakit/fi/2715293.html,0, ,0,,3
2715294,E7182,"Juvanristi","Juvankartanontie",60.269690,24.756260,02,http://aikataulut.hsl.fi/pysakit/fi/2715294.html,0, ,0,,3
2715295,E7183,"Juvanristi","Juvankartanontie",60.270090,24.757180,02,http://aikataulut.hsl.fi/pysakit/fi/2715295.html,0, ,0,,3
2721201,E7201,"Odilampi","Vihdintie",60.301200,24.763460,02,http://aikataulut.hsl.fi/pysakit/fi/2721201.html,0, ,0,,3
2721202,E7202,"Odilampi","Vihdintie",60.300467,24.765783,02,http://aikataulut.hsl.fi/pysakit/fi/2721202.html,0, ,0,,3
2721203,E7203,"Metsämaa","Vihdintie",60.302980,24.755680,02,http://aikataulut.hsl.fi/pysakit/fi/2721203.html,0, ,0,,3
2721204,E7204,"Metsämaa","Vihdintie",60.303310,24.753640,02,http://aikataulut.hsl.fi/pysakit/fi/2721204.html,0, ,0,,3
2721205,E7205,"Kortesmäki","Vihdintie",60.304690,24.748270,02,http://aikataulut.hsl.fi/pysakit/fi/2721205.html,0, ,0,,3
2721206,E7206,"Kortesmäki","Vihdintie",60.304320,24.749260,02,http://aikataulut.hsl.fi/pysakit/fi/2721206.html,0, ,0,,3
2721207,E7207,"Kalajärvi","Vihdintie",60.307710,24.736010,02,http://aikataulut.hsl.fi/pysakit/fi/2721207.html,0, ,0,,3
2721208,E7208,"Kalajärvi","Vihdintie",60.306944,24.738153,02,http://aikataulut.hsl.fi/pysakit/fi/2721208.html,0, ,0,,3
2721209,E7209,"Kalajärvenranta","Vihdintie",60.309640,24.731580,02,http://aikataulut.hsl.fi/pysakit/fi/2721209.html,0, ,0,,3
2721210,E7210,"Kalajärvenranta","Vihdintie",60.309840,24.730880,02,http://aikataulut.hsl.fi/pysakit/fi/2721210.html,0, ,0,,3
2721211,E7211,"Alaniementie","Vihdintie",60.301550,24.761280,02,http://aikataulut.hsl.fi/pysakit/fi/2721211.html,0, ,0,,3
2721212,E7212,"Ruskatie","Niipperintie",60.305000,24.741490,02,http://aikataulut.hsl.fi/pysakit/fi/2721212.html,0, ,0,,3
2721213,E7213,"Ruskatie","Niipperintie",60.304440,24.740960,02,http://aikataulut.hsl.fi/pysakit/fi/2721213.html,0, ,0,,3
2721276,E7215,"Kalajärven keskus","Hiirisuontie",60.306330,24.736250,02,http://aikataulut.hsl.fi/pysakit/fi/2721276.html,0, ,0,,3
2721284,E7216,"Taka-Niipperi","Niipperintie",60.301310,24.737780,02,http://aikataulut.hsl.fi/pysakit/fi/2721284.html,0, ,0,,3
2721285,E7217,"Taka-Niipperi","Niipperintie",60.301700,24.737890,02,http://aikataulut.hsl.fi/pysakit/fi/2721285.html,0, ,0,,3
2721294,E7218,"Kallionsyrjä","Niipperintie",60.298560,24.735660,02,http://aikataulut.hsl.fi/pysakit/fi/2721294.html,0, ,0,,3
2722211,E7219,"Piennartie","Vihdintie",60.311570,24.726850,02,http://aikataulut.hsl.fi/pysakit/fi/2722211.html,0, ,0,,3
2722212,E7220,"Piennartie","Vihdintie",60.312260,24.724100,02,http://aikataulut.hsl.fi/pysakit/fi/2722212.html,0, ,0,,3
2722213,E7221,"Lahnus","Vihdintie",60.316990,24.714270,02,http://aikataulut.hsl.fi/pysakit/fi/2722213.html,0, ,0,,3
2722214,E7222,"Lahnus","Vihdintie",60.315720,24.716570,02,http://aikataulut.hsl.fi/pysakit/fi/2722214.html,0, ,0,,3
2722215,E7223,"Hemgård","Vihdintie",60.318250,24.704520,02,http://aikataulut.hsl.fi/pysakit/fi/2722215.html,0, ,0,,3
2722216,E7224,"Hemgård","Vihdintie",60.318040,24.705470,02,http://aikataulut.hsl.fi/pysakit/fi/2722216.html,0, ,0,,3
2722217,E7225,"Luukki","Vihdintie",60.319690,24.695250,02,http://aikataulut.hsl.fi/pysakit/fi/2722217.html,0, ,0,,3
2722218,E7226,"Luukki","Vihdintie",60.319280,24.696310,02,http://aikataulut.hsl.fi/pysakit/fi/2722218.html,0, ,0,,3
2722219,E7227,"Klockars","Vihdintie",60.322980,24.678600,02,http://aikataulut.hsl.fi/pysakit/fi/2722219.html,0, ,0,,3
2722220,E7228,"Klockars","Vihdintie",60.323100,24.677430,02,http://aikataulut.hsl.fi/pysakit/fi/2722220.html,0, ,0,,3
2722248,E7229,"Lahnuksen koulu","Vanha Lahnuksentie",60.309850,24.707570,02,http://aikataulut.hsl.fi/pysakit/fi/2722248.html,0, ,0,,3
2722249,E7230,"Lahnuksen koulu","Vanha Lahnuksentie",60.310050,24.707610,02,http://aikataulut.hsl.fi/pysakit/fi/2722249.html,0, ,0,,3
2722263,E7231,"Vanha Nemlahdentie","Vanha Lahnuksentie",60.307530,24.705520,02,http://aikataulut.hsl.fi/pysakit/fi/2722263.html,0, ,0,,3
2722264,E7232,"Vanha Nemlahdentie","Vanha Lahnuksentie",60.308070,24.706430,02,http://aikataulut.hsl.fi/pysakit/fi/2722264.html,0, ,0,,3
2722265,E7233,"Nemlahdentie","Vanha Lahnuksentie",60.303630,24.700130,02,http://aikataulut.hsl.fi/pysakit/fi/2722265.html,0, ,0,,3
2722266,E7234,"Nemlahdentie","Vanha Lahnuksentie",60.303650,24.700470,02,http://aikataulut.hsl.fi/pysakit/fi/2722266.html,0, ,0,,3
2722267,E7235,"Luukinranta","Luukintie",60.314600,24.684960,02,http://aikataulut.hsl.fi/pysakit/fi/2722267.html,0, ,0,,3
2722268,E7236,"Luukinranta","Luukintie",60.314670,24.685080,02,http://aikataulut.hsl.fi/pysakit/fi/2722268.html,0, ,0,,3
2722286,E7237,"Vesilinnuntie","Vanha Lahnuksentie",60.312230,24.710710,02,http://aikataulut.hsl.fi/pysakit/fi/2722286.html,0, ,0,,3
2722287,E7238,"Vesilinnuntie","Vanha Lahnuksentie",60.312530,24.710710,02,http://aikataulut.hsl.fi/pysakit/fi/2722287.html,0, ,0,,3
2722289,E7239,"Ylijärvi","Vanha Lahnuksentie",60.316060,24.714950,02,http://aikataulut.hsl.fi/pysakit/fi/2722289.html,0, ,0,,3
2723210,E7901,"Lahnuksenmäki","Lahnuksentie",60.321463,24.717534,02,http://aikataulut.hsl.fi/pysakit/fi/2723210.html,0, ,0,,3
2723211,E7902,"Lahnuksenmäki","Lahnuksentie",60.322290,24.717550,02,http://aikataulut.hsl.fi/pysakit/fi/2723211.html,0, ,0,,3
2723229,E7905,"Kurkijärvi","Lahnuksentie",60.317760,24.716420,02,http://aikataulut.hsl.fi/pysakit/fi/2723229.html,0, ,0,,3
2723230,E7906,"Kurkijärvi","Lahnuksentie",60.317570,24.716090,02,http://aikataulut.hsl.fi/pysakit/fi/2723230.html,0, ,0,,3
2723231,E7907,"Haarssintie","Lahnuksentie",60.323770,24.715550,02,http://aikataulut.hsl.fi/pysakit/fi/2723231.html,0, ,0,,3
2723232,E7908,"Haarssintie","Lahnuksentie",60.322890,24.716680,02,http://aikataulut.hsl.fi/pysakit/fi/2723232.html,0, ,0,,3
2723233,E7909,"Kurjenkaski","Lahnuksentie",60.329280,24.710240,02,http://aikataulut.hsl.fi/pysakit/fi/2723233.html,0, ,0,,3
